mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
place,Pontus,1.1,435335WPon,Pontos (Pontus) 1512 Black Sea - Πόντος,43.5,33.5,sea/strait
place,Cyanean rocks,1.1,412291IKya,Kyaneai-Symplegades (Pontus) 71 Rumelifeneri - Κυάνεαι,41.234,29.11517,island
ethnic,Ionians,1.1012,375275RIon,Ionia region (Asia Minor) 884 Izmir - Ιωνία,38.0,27.3,region/people
demonym,Pelasgian,1.1012,398223UPel,Pelasgiotis region (Thessaly) 268 Thessalia - Πελασγία,39.5,22.5,region/people
place,Cyzicus,1.1012,404279UCyz,Kyzikos (Mysia) 341 Belkis - Κύζικος,40.3895,27.8878,polity
ethnic,Thespians,1.105,383232PThe,Thespiai (Boeotia) 230 Thespies - Θεσπιαί,38.2935,23.1549,polity
demonym,Siphaean,1.105,382230PSip,Siphai (Boeotia) 23 Alyki - Σίφαι,38.1899,23.0515,polity
place,Dindymum,1.1079,405277LDin,Dindymon mountain (Propontis) 15 Kapidag,40.433,27.911,mountain
place,Olympus,1.1079,401224LOly,Olympus Mt. (Pieria) 811 Mt. Olympos - Ολυμπος,40.0856,22.3586,mountain
ethnic,Phrygians,1.1103,400310RPhr,Phrygia region (Asia Minor) 1177 Central Turkey - Φρυγία,40.0,31.0,region/people
demonym,Mysian,1.1103,375275RMys,Mysia region (Asia Minor) 336  - Μυσία,40.0,28.0,region/people
demonym,Idaean,1.1103,352248LIda,Ida Mt. (Crete) 133 Pseiloritis - Ίδα,35.2263,24.7708,mountain
demonym,Dictaean,1.1103,352254CAig,Dictaean cave (Crete) 10 Psykhro - Δικταίον άντρον,35.1627,25.4452,cave
place,Thrace,1.1103,410265RThr,Thrace region (Evros) 1818 Thraki - Θραίκη,41.0,26.5,region/people
place,Bosporus,1.1103,411291WBos,Bosphorus (Thrace) 175 Bogazici - Βόσπορος,41.1194,29.0753,sea/strait
place,Aesepus,1.1103,403278WAis,Aisepos R. (Mysia) 51 Gonen Cayi - Αίσηπος,40.2674,27.6022,river
place,Adrasteia,1.1103,404272Uadr,Adrasteia (Mysia) 19 above Adrasteia plain - Αδράστεια,40.3837,27.1913,polity
place,Dindymum,1.1103,393318LDin,Dindymon mountain (Phrygia) 23 Murat dagi,38.94,29.697,mountain
place,Oaxus,1.1103,353248PAxo,Axos/Oaxos (Crete) 11 Axos - Άξος,35.3079,24.8441,polity
place,Dindymum,1.1103,405277LDin,Dindymon mountain (Propontis) 15 Kapidag,40.433,27.911,mountain
person,Crete,1.1103,352252IKre,Crete (Greece) 1562 Kriti - Κρήτη,35.2052,25.1836,region/people
place,Araethyrea,1.115,378226UAra,Araithyrea (Korinthia) 9 Nemea - Αραιθυρέα,37.8353,22.63734,polity
place,Asopus,1.115,378228WAso,Asopos R. (Korinthia) 28 Asopos - Ασωπός,37.975,22.734,river
demonym,Mysian,1.1153,375275RMys,Mysia region (Asia Minor) 336  - Μυσία,40.0,28.0,region/people
place,Rhyndaeus,1.1153,401285WRhy,Rhyndakos R. (Mysia) 42 Mustafakemalpasha - Ρύνδακος,40.1357,28.542,river
place,Phrygia,1.1153,400310RPhr,Phrygia region (Asia Minor) 1177 Central Turkey - Φρυγία,40.0,31.0,region/people
ethnic,Mysians,1.1172,375275RMys,Mysia region (Asia Minor) 336  - Μυσία,40.0,28.0,region/people
place,Cius,1.1172,404292UPru,Prusias/Kios (Bithynia) 84 Gemlik - Προυσιάς/Κίος,40.4325,29.1564,polity
place,Argos,1.118,376227PArg,Argos (Argolid) 2457 Argos - Άργος,37.63091,22.72079,polity
ethnic,Dryopians,1.1207,383243RDry,Dryopes tribe (Euboea) 42  - Δρύοπες,38.2,24.2,region/people
ethnic,Dryopians,1.1207,383243RDry,Dryopes tribe (Euboea) 42  - Δρύοπες,38.2,24.2,region/people
place,Pegae,1.1207,410290UPeg,Pegai/Krenides (Thrace) 9 Kasım Paşa - Πηγαί,41.0355,28.9652,polity
demonym,Lyrceian,1.122,377226ULyr,Lyrkeia (Argolid) 9 Schinochori - Λύρκεια,37.6926,22.6311,polity
demonym,Erymanthian,1.122,380218LEry,Erymanthos Mt. (Achaia) 35 Erymanthos - Ερύμανθος,37.9667,21.8333,mountain
place,Argos,1.122,376227PArg,Argos (Argolid) 2457 Argos - Άργος,37.63091,22.72079,polity
place,Arcadia,1.122,375223RArk,Arkadia region (Arkadia) 1437 Arkadia - Αρκαδία,37.5,22.3,region/people
place,Lampeia,1.122,378218LLam,Lampeia Mt. (Eleia) 21 Kalliphoniou - Λάμπεια,37.881,21.794,mountain
place,Mycenae,1.122,377228PMyk,Mycenae (Argolid) 289 Mykines - Μυκήναι,37.7308,22.7561,polity
place,Pegae,1.1240,410290UPeg,Pegai/Krenides (Thrace) 9 Kasım Paşa - Πηγαί,41.0355,28.9652,polity
ethnic,Mysians,1.1296,375275RMys,Mysia region (Asia Minor) 336  - Μυσία,40.0,28.0,region/people
place,Tenos,1.1296,375252PTen,Tenos (Tinos) 70 Tinos - Τήνος,37.538,25.1617,polity
place,Argos,1.1296,376227PArg,Argos (Argolid) 2457 Argos - Άργος,37.63091,22.72079,polity
place,Cius,1.1296,404292UPru,Prusias/Kios (Bithynia) 84 Gemlik - Προυσιάς/Κίος,40.4325,29.1564,polity
ethnic,Mysians,1.1344,375275RMys,Mysia region (Asia Minor) 336  - Μυσία,40.0,28.0,region/people
place,Cius,1.1344,404292UPru,Prusias/Kios (Bithynia) 84 Gemlik - Προυσιάς/Κίος,40.4325,29.1564,polity
place,Trachis,1.1344,388224PHer,Herakleia Trachinia (Malis) 112 Iraklia - Ηράκλεια,38.794,22.4313,polity
place,Cius,1.1344,404292UPru,Prusias/Kios (Bithynia) 84 Gemlik - Προυσιάς/Κίος,40.4325,29.1564,polity
place,Argos,1.139,376227PArg,Argos (Argolid) 2457 Argos - Άργος,37.63091,22.72079,polity
person,Aitolian,1.146,386215RAit,Aitolia region (Aitolia) 1220 Aitolia - Αιτωλία,38.6,21.5,region/people
person,Sparta,1.146,371224PSpa,Sparta/Lacedaemon (Lakonia) 5559 Sparti - Σπάρτα,37.0821,22.4237,polity
place,Arene,1.151,375216USam,Samikon/Samia (Triphylia) 102 Kato Samiko - Σαμικόν,37.533,21.599,polity
place,Pylos,1.156,370217XNes,Pylos/Palace of Nestor (Messenia) 171 Ano Englianos - Πύλος,37.027,21.695,site/excavation
demonym,Maenalian,1.161,377223LMai,Mainalion Mt. (Arkadia) 80 Mainalo - Μαίναλος,37.4845,22.2693,mountain
place,Arcadia,1.161,375223RArk,Arkadia region (Arkadia) 1437 Arkadia - Αρκαδία,37.5,22.3,region/people
place,Tegea,1.161,375224PTeg,Tegea (Arkadia) 363 Piali/Episkopi - Τεγέα,37.464,22.429,polity
ethnic,Eleans,1.172,378215REle,Eleia or Elis region (Eleia) 617 Ileia - Ήλις,37.8,21.5,region/people
ethnic,Colchians,1.172,431423RCol,Colchis (Pontus) 391 Georgia - Κολχίς,42.12,42.28,region/people
demonym,Achaean,1.176,382219RAch,Achaea region (Achaia) 1800 Achaia - Αχαΐα,38.2,21.9,region/people
place,Pellene,1.176,380225PPel,Pellene (Korinthia) 135 Pellini - Πελλήνη,38.0446,22.5384,polity
place,Taenarus,1.179,364225STai,Tainaron Poseidon sanctuary (Lakonia) 116 Tainaron - Ταίναρος,36.4018,22.4867,sanctuary/temple
place,Miletus,1.185,375273PMil,Miletus (Ionia) 729 Milet - Μίλητος,37.5292,27.2775,polity
place,Parthenia,1.185,377269PSam,Samos (Aegean) 872 Pythagoreio - Σάμος,37.695,26.935,polity
ethnic,Aitolians,1.190,386215RAit,Aitolia region (Aitolia) 1220 Aitolia - Αιτωλία,38.6,21.5,region/people
place,Calydon,1.190,384215UKal,Kalydon (Aitolia) 173 Kalydona N Evinokhori - Καλυδών,38.372,21.533,polity
person,Olenian,1.202,382216POle,Olenos (Achaia) 84 Tsoukalaiika/Kamenitsa? - Ώλενος,38.1537,21.6406,polity
ethnic,Phocians,1.207,386227RPho,Phokis region (Central Greece) 781 Phokida - Φωκίς,38.6,22.7,region/people
place,Pytho,1.207,385225SDel,"Delphic Oracle, Pytho (Delphi) 1539 Delphous - Δελφοί",38.48264,22.50108,sanctuary/temple
place,Thrace,1.221,410265RThr,Thrace region (Evros) 1818 Thraki - Θραίκη,41.0,26.5,region/people
place,Cecropia,1.221,379239RAtt,Attica region (Hellas) 1518 Attiki - Αττική,37.9,23.9,region/people
place,Ilissus,1.221,380237WIli,Ilissos R. (Athens) 56 Ilissos - Ιλισσός,37.968,23.734,river
demonym,Bistonian,1.23,410251WBis,Bistonis (Xanthi) 44 Lake Vistonis - Βιστονία,41.03,25.12,lake
place,Pimpleian height,1.23,401225UPim,Pimpleia (Pieria) 19 S Dion - Πίμπλεια,40.1434,22.4931,polity
place,Zone,1.23,409256PZon,Zone (Evros) 7 Makri? - Ζώνη,40.8635,25.6382,polity
place,Pieria,1.23,402225RPie,Pieria region (Pieria) 172 Pieria - Πιερία,40.2,22.5,region/people
demonym,Magnesian,1.234,397227RMag,Magnesia region (Magnesia) 235 Magnesia - Μαγνησία,39.4,22.9,region/people
place,Pagasae,1.234,393229PPag,Pagasai (Magnesia) 52 Volos - Παγασαί,39.3546,22.9258,polity
demonym,Achaean,1.261,382219RAch,Achaea region (Achaia) 1800 Achaia - Αχαΐα,38.2,21.9,region/people
place,Delos,1.306,374253SSan,Delian Apollo sanct. (Delos) 140 Dilos,37.4004,25.2666,sanctuary/temple
place,Claros,1.306,380272SKla,Klaros Apollo temple (Ionia) 68 Ahmetbeyli - Κλάρος,38.0047,27.193,sanctuary/temple
place,Pytho,1.306,385225SDel,"Delphic Oracle, Pytho (Delphi) 1539 Delphous - Δελφοί",38.48264,22.50108,sanctuary/temple
place,Xanthus,1.306,364293PXan,Xanthos (Lycia) 97 Kinik - Ξάνθος,36.3565,29.3182,polity
place,Pagasae,1.317,393229PPag,Pagasai (Magnesia) 52 Volos - Παγασαί,39.3546,22.9258,polity
demonym,Phylleian,1.35,394222UPhy,Phyllos (Thessaly) 7 Magoula Paliambela - Φύλλος,39.412,22.1845,polity
place,Apidanus,1.35,393223WApi,Apidanos R. (Thessaly) 42 Pharsalitis - Απιδανός ,39.43,22.104,river
