mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
demonym,Indian,1.11,300740RInd,India (Asia) 1628 India - Ινδία,30.0,74.0,region/people
place,Paros,1.11,371252PPar,Paros (Cyclades) 193 Parikia - Πάρος,37.0844,25.1483,polity
place,Enipeus,1.118,378218WEni,Enipeus R. (Eleia) 11 Lestenitsa - Ενιπεύς,37.655,21.546,river
demonym,Athenian,1.125,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
place,Olympos,1.137,401224LOly,Olympus Mt. (Pieria) 811 Mt. Olympos - Ολυμπος,40.0856,22.3586,mountain
place,Nile,1.137,312301WNil,Nile River (Egypt) 878 en-Nil - Νείλος,30.0918,31.2313,river
demonym,Cilician,1.154,370340RCil,Cilicia region (Asia Minor) 981 Mersin - Κιλικία,37.01,34.01,region/people
demonym,Parrhasian,1.163,375222RPar,Parrhasia region (Arkadia) 69  - Παρρασία,37.45,22.15,region/people
place,Olympos,1.163,401224LOly,Olympus Mt. (Pieria) 811 Mt. Olympos - Ολυμπος,40.0856,22.3586,mountain
place,Olympos,1.176,401224LOly,Olympus Mt. (Pieria) 811 Mt. Olympos - Ολυμπος,40.0856,22.3586,mountain
place,Olympos,1.202,401224LOly,Olympus Mt. (Pieria) 811 Mt. Olympos - Ολυμπος,40.0856,22.3586,mountain
place,Tarsos,1.258,369349UTar,Tarsus (Anatolia) 209 Tarsus - Ταρσός,36.9122,34.897,polity
place,Cydnos,1.258,369349WKyd,Kydnos river (Cilicia) 70 Berdan cay - Κύδνος,36.9191,34.92,river
place,Olympos,1.258,401224LOly,Olympus Mt. (Pieria) 811 Mt. Olympos - Ολυμπος,40.0856,22.3586,mountain
place,Dicte,1.321,353263LDik,Dikte Mt. (Crete) 30 Mt. Modi - Δίκτη,35.118,25.418,mountain
person,Olympos,1.352,401224LOly,Olympus Mt. (Pieria) 811 Mt. Olympos - Ολυμπος,40.0856,22.3586,mountain
demonym,Inachian,1.377,378228WIna,Inachos R. (Argolid) 141 Inachos - Ίναχος,37.625,22.744,river
place,Olympos,1.377,401224LOly,Olympus Mt. (Pieria) 811 Mt. Olympos - Ολυμπος,40.0856,22.3586,mountain
place,Tauros,1.408,370332LTau,Taurus Mountains (Asia Minor) 313 Toros Dağları - Ταύρος,37.0,33.2,mountain
demonym,Olympian,1.427,401224LOly,Olympus Mt. (Pieria) 811 Mt. Olympos - Ολυμπος,40.0856,22.3586,mountain
demonym,Olenian,1.439,382216POle,Olenos (Achaia) 84 Tsoukalaiika/Kamenitsa? - Ώλενος,38.1537,21.6406,polity
place,Olympos,1.439,401224LOly,Olympus Mt. (Pieria) 811 Mt. Olympos - Ολυμπος,40.0856,22.3586,mountain
demonym,Sidonian,1.46,336354PSid,Sidon (Lebanon) 284 Sidon - Σιδών,33.56,35.371,polity
demonym,Achaian,1.90,382219RAch,Achaea region (Achaia) 1800 Achaia - Αχαΐα,38.2,21.9,region/people
place,Lydia,10.139,385280RLyd,Lydia region (Asia Minor) 841 Manisa - Λυδία,38.5,28.0,region/people
place,Pactolos,10.139,385281WPac,Pactolus R. (Lydia) 76 Sart Çayı - Πακτωλός,38.4804,28.0628,river
demonym,Phrygian,10.175,400310RPhr,Phrygia region (Asia Minor) 1177 Central Turkey - Φρυγία,40.0,31.0,region/people
place,Pactolos,10.217,385281WPac,Pactolus R. (Lydia) 76 Sart Çayı - Πακτωλός,38.4804,28.0628,river
demonym,Libyan,10.230,300070RLib,Libya (Africa) 1525 North Africa - Λιβύη,32.01,10.01,region/people
demonym,Trojan,10.250,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
place,Tmolos,10.250,383281LTmo,Tmolus Mt. (Lydia) 91 Boz Dag - Τμώλος,38.3237,28.1016,mountain
demonym,Phrygian,10.292,400310RPhr,Phrygia region (Asia Minor) 1177 Central Turkey - Φρυγία,40.0,31.0,region/people
demonym,Trojan,10.292,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
place,Maeonia,10.292,388283RMai,Maionia region (Ionia) 80 Menye - Μαιονία,38.6,28.0,region/people
place,Olympos,10.292,401224LOly,Olympus Mt. (Pieria) 811 Mt. Olympos - Ολυμπος,40.0856,22.3586,mountain
place,Ida,10.292,352248LIda,Ida Mt. (Crete) 133 Pseiloritis - Ίδα,35.2263,24.7708,mountain
demonym,Magnesian,10.321,397227RMag,Magnesia region (Magnesia) 235 Magnesia - Μαγνησία,39.4,22.9,region/people
place,Alpheios,10.373,376215WAlp,Alpheios R. (Eleia) 336 Alpheios - Αλφειός,37.6125,21.4517,river
place,Cithairon,10.85,382233LCit,Cithaeron Mt. (Boeotia) 203 Kithairon - Κιθαιρών,38.185,23.2506,mountain
person,Colchian,10.96,431423RCol,Colchis (Pontus) 391 Georgia - Κολχίς,42.12,42.28,region/people
demonym,Phrygian,11.113,400310RPhr,Phrygia region (Asia Minor) 1177 Central Turkey - Φρυγία,40.0,31.0,region/people
demonym,Trojan,11.118,400262UIli,Troy/Ilion (Troad) 3316 Truva - Τροίη,39.9575,26.2389,polity
demonym,Olympian,11.17,401224LOly,Olympus Mt. (Pieria) 811 Mt. Olympos - Ολυμπος,40.0856,22.3586,mountain
