mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
place,Cyclades,1.1.1,372248RKyk,Cyclades region (Aegean),37.2,24.8,region/people
place,Aegean Sea,1.1.1,381253WAeg,Aegean Sea (Hellas),38.1,25.3,sea/strait
place,Sunium,1.1.1,376240LSou,Sounion cape (Attica),37.6498,24.0247,sanctuary/temple
demonym,Attic,1.1.1,379239RAtt,Attica region (Hellas),37.9,23.9,region/people
place,temple,1.1.1,377240SAth,Athena temple (Sounion ),37.6529,24.0271,sanctuary/temple
place,Laurium,1.1.1,377241RLau,Laureion region (Attica),37.71,24.05,region/people
ethnic,Athenians,1.1.1,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Island of Patroclus,1.1.1,377240IPat,Patroklou Charax (Attica),37.6543,23.9577,island
demonym,Egyptian,1.1.1,271307REgy,Aigyptos (Egypt),27.1,30.7,region/people
ethnic,Athenians,1.1.1,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Peiraeus,1.1.2,379236HPei,Piraeus (Attica),37.9394,23.6448,deme
ethnic,Athenians,1.1.2,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Phalerum,1.1.2,379237DPha,Phaleron (Attica),37.9373,23.7062,deme
place,Athens,1.1.2,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Troy,1.1.2,400262UIli,Troy/Ilion (Troad),39.9575,26.2389,polity
place,Peiraeus,1.1.2,379236HPei,Piraeus (Attica),37.9394,23.6448,deme
place,Phalerum,1.1.2,379237DPha,Phaleron (Attica),37.9373,23.7062,deme
demonym,Athenian,1.1.2,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,shipsheds,1.1.2,379237HZea,Zea harbor (Piraeus),37.9384,23.6504,harbor
place,harbor,1.1.2,379236UKan,Kantharos Limen (Piraeus),37.942,23.642,harbor
place,grave,1.1.2,379236GThT,Drapetsona  Themistocles tomb (Piraeus),37.9416,23.61726,tomb/cemetery
ethnic,Athenians,1.1.2,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Magnesia,1.1.2,379275UMag,Magnesia ad Maeandrum (Ionia),37.853,27.526,polity
place,Parthenon,1.1.2,380237SAth,Parthenon Athena temple (Athens),37.97156,23.72663,sanctuary/temple
place,Peiraeus,1.1.3,379236HPei,Piraeus (Attica),37.9394,23.6448,deme
ethnic,Athenians,1.1.3,380237PAth,Athens (Attica),37.9718,23.72793,polity
ethnic,Macedonians,1.1.3,408225RMak,Macedonia region (Greece),40.81,22.5,region/people
place,Boeotia,1.1.3,384233RBoi,Boiotia region (Boeotia),38.35,23.25,region/people
place,Thermopylae,1.1.3,388225FThe,Thermopylae (Phthiotis),38.795,22.536,fortification
place,Lamia,1.1.3,389224PLam,Lamia (Phthiotis),38.903,22.4426,polity
place,Oeta,1.1.3,388223LOit,Oita Mt. (Phthiotis),38.801,22.25,mountain
place,Long Stoa,1.1.3,380236BLSt,Long Stoa (Piraeus),37.94579,23.64254,building
demonym,Lacedemonian,1.1.3,371224PSpa,Sparta/Lacedaemon (Lakonia),37.0821,22.4237,polity
place,Cnidus,1.1.3,367274PKni,Knidos (Caria) Cnidus,36.6862,27.374,polity
demonym,Carian,1.1.3,370287RKar,Caria region (Asia Minor),37.01,28.7,region/people
