mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
demonym,Peloponnesian,0.1,375222RPel,Peloponnese (Hellas) 1736 Peloponisos - Πελοπόννησος,37.54,22.15,region/people
ethnic,Peloponnesians,1.1,375222RPel,Peloponnese (Hellas) 1736 Peloponisos - Πελοπόννησος,37.54,22.15,region/people
ethnic,Athenians,1.1,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
demonym,Boeotian,1.10,384233RBoi,Boiotia region (Boeotia) 1673 Viotia - Βοιωτία,38.35,23.25,region/people
place,Mycenae,1.10,377228PMyk,Mycenae (Argolid) 289 Mykines - Μυκήναι,37.7308,22.7561,polity
place,Lacedaemon,1.10,371224PSpa,Sparta/Lacedaemon (Lakonia) 5559 Sparti - Σπάρτα,37.0821,22.4237,polity
place,Peloponnese,1.10,375222RPel,Peloponnese (Hellas) 1736 Peloponisos - Πελοπόννησος,37.54,22.15,region/people
place,Athens,1.10,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Athenians,1.100,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Medes,1.100,355480RMed,Media (Asia) 945 Hamedan - Μηδία,35.5,48.0,region/people
ethnic,Thasians,1.100,408247PTha,Thasos (Macedonia) 260 Thasos - Θάσος,40.7799,24.7138,polity
ethnic,Edonians,1.100,408238UEdo,Edones tribe (Serres) 56 lower R. Strymon basin - Ηδώνες,40.9,23.9,region/people
ethnic,Edonians,1.100,408238UEdo,Edones tribe (Serres) 56 lower R. Strymon basin - Ηδώνες,40.9,23.9,region/people
ethnic,Thracians,1.100,410265RThr,Thrace region (Evros) 1818 Thraki - Θραίκη,41.0,26.5,region/people
demonym,Phoenician,1.100,335354RPho,Phoenicia (Lebanon) 1083 Lebanon - Φοινική,33.5,35.4,region/people
place,Eurymedon,1.100,369312WEur,Eurymedon R. (Asia Minor) 42 Koprucay river - Ευρυμέδων,36.911,31.159,river
place,Pamphylia,1.100,370320RPam,Pamphylia region (Asia Minor) 280 Antalya - Παμφυλία,37.01,32.01,region/people
place,Ennea Hodoi,1.100,408238UEnn,Ennea Hodoi (Serres) 17 N Amphipolis - Εννέα οδοί,40.8403,23.8556,polity
place,Amphipolis,1.100,408238PAmp,Amphipolis (Serres) 247 Amphipolis - Αμφίπολις,40.822,23.847,polity
place,Ennea Hodoi,1.100,408238UEnn,Ennea Hodoi (Serres) 17 N Amphipolis - Εννέα οδοί,40.8403,23.8556,polity
place,Drabescus,1.100,409239UDra,Drabeskos (Serres) 9 Draveskos? - Δραβήσκος,40.9133,23.8636,polity
place,Ennea Hodoi,1.100,408238UEnn,Ennea Hodoi (Serres) 17 N Amphipolis - Εννέα οδοί,40.8403,23.8556,polity
ethnic,Thasians,1.101,408247PTha,Thasos (Macedonia) 260 Thasos - Θάσος,40.7799,24.7138,polity
ethnic,Thuriats,1.101,371220PTho,Thouria (Messenia) 34 Antheia/Ellinika - Θουρία,37.1101,22.0504,polity
ethnic,Aethaeans,1.101,370220UAnt,Antheia? (Messenia) 22 Antheia? - Άνθεια,37.112,22.041,polity
ethnic,Messenians,1.101,372218RMes,Messenia region (Messenia) 700 Messinia - Μεσσηνία,37.2,21.8,region/people
ethnic,Lacedaemonians,1.101,371224PSpa,Sparta/Lacedaemon (Lakonia) 5559 Sparti - Σπάρτα,37.0821,22.4237,polity
ethnic,Athenians,1.101,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
place,Attica,1.101,379239RAtt,Attica region (Hellas) 1518 Attiki - Αττική,37.9,23.9,region/people
place,Ithome,1.101,372219LIth,Ithome Mt. (Messenia) 112 Ithomi - Ιθώμη,37.186,21.925,mountain
ethnic,Lacedaemonians,1.102,371224PSpa,Sparta/Lacedaemon (Lakonia) 5559 Sparti - Σπάρτα,37.0821,22.4237,polity
ethnic,Athenians,1.102,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Thessalians,1.102,394223RThs,Thessaly region (Hellas) 1628 Thessalia - Θεσσαλία,39.4,22.3,region/people
place,Ithome,1.102,372219LIth,Ithome Mt. (Messenia) 112 Ithomi - Ιθώμη,37.186,21.925,mountain
place,Argos,1.102,376227PArg,Argos (Argolid) 2457 Argos - Άργος,37.63091,22.72079,polity
ethnic,Lacedaemonians,1.103,371224PSpa,Sparta/Lacedaemon (Lakonia) 5559 Sparti - Σπάρτα,37.0821,22.4237,polity
ethnic,Ozolian Locrians,1.103,384222ROzo,Ozolian Lokris region (Phokis) 125 S Phokida - Οζόλαι,38.4,22.2,region/people
ethnic,Athenians,1.103,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Megarians,1.103,380233PMeg,Megara (Megarid) 713 Megara - Μέγαρα,37.997,23.34285,polity
ethnic,Corinthians,1.103,379229PKor,Corinth/Korinthos (Korinthia) 1749 Archaia Korinthos - Κόρινθος,37.9054,22.8802,polity
place,Ithome,1.103,372219LIth,Ithome Mt. (Messenia) 112 Ithomi - Ιθώμη,37.186,21.925,mountain
place,Peloponnese,1.103,375222RPel,Peloponnese (Hellas) 1736 Peloponisos - Πελοπόννησος,37.54,22.15,region/people
place,Delphi,1.103,385225SDel,"Delphic Oracle, Pytho (Delphi) 1539 Delphous - Δελφοί",38.48264,22.50108,sanctuary/temple
place,Naupactus,1.103,384218UNau,Naupactus (Aitolia) 190 Navpaktos - Ναύπακτος,38.3997,21.8313,polity
place,Pegae,1.103,381232PPag,Pagai (Megarid) 58 Alepochori - Πηγαί,38.0834,23.1884,polity
place,Nisaea,1.103,380234UNis,Nisaia (Attica) 79 Pachi - Νισαία,37.9764,23.364,polity
ethnic,Libyans,1.104,300070RLib,Libya (Africa) 1525 North Africa - Λιβύη,32.01,10.01,region/people
ethnic,Athenians,1.104,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Persians,1.104,295540RPer,Persia (Asia) 4067 Fars - Περσία ,29.5,54.0,region/people
ethnic,Medes,1.104,355480RMed,Media (Asia) 945 Hamedan - Μηδία,35.5,48.0,region/people
ethnic,Egyptians,1.104,271307REgy,Aigyptos (Egypt) 4104 Egypt - Αίγυπτος,27.1,30.7,region/people
demonym,Cyprian,1.104,350330RCyp,Cyprus (Kypros) 999 Cyprus - Κύπρος,35.0,33.0,region/people
place,Pharos,1.104,312299IPha,Pharos (Egypt) 153 Ras at Tin - Φάρος,31.213,29.8856,island
place,Nile,1.104,312301WNil,Nile River (Egypt) 878 en-Nil - Νείλος,30.0918,31.2313,river
place,Memphis,1.104,298313PMem,Memphis (Egypt) 247 Mit Rahina - Μέμφις,29.849,31.255,polity
ethnic,Athenians,1.105,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Corinthians,1.105,379229PKor,Corinth/Korinthos (Korinthia) 1749 Archaia Korinthos - Κόρινθος,37.9054,22.8802,polity
ethnic,Epidaurians,1.105,376232PEpi,Epidauros (Argolid) 206 Archaia Epidauros - Επίδαυρος,37.6331,23.1617,polity
ethnic,Aeginetans,1.105,378234PAig,Aigina polis (Aegina) 464 Aigina - Αίγινα,37.75,23.425,polity
ethnic,Peloponnesians,1.105,375222RPel,Peloponnese (Hellas) 1736 Peloponisos - Πελοπόννησος,37.54,22.15,region/people
ethnic,Megarians,1.105,380233PMeg,Megara (Megarid) 713 Megara - Μέγαρα,37.997,23.34285,polity
place,Haliae,1.105,373231PHal,Halieis (Argolid) 33 Porto Cheli - Αλιείς,37.3132,23.1491,polity
place,Cecryphaleia,1.105,378233IKek,Kekryphaleia (Attica) 7 Kyra - Κεκρυφάλεια,37.7015,23.2647,island
